filename,polygon,zip_url
BENE09.zip,"49.7764 14.6982 49.7764 14.7363 49.7972 14.7363 49.7972 14.6982 49.7764 14.6982",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE09.zip
BENE10.zip,"49.9338 14.6304 49.9338 14.6686 49.9547 14.6686 49.9547 14.6304 49.9338 14.6304",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE10.zip
BENE11.zip,"49.916 14.6341 49.916 14.6723 49.9368 14.6723 49.9368 14.6341 49.916 14.6341",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE11.zip
BENE12.zip,"49.8982 14.6378 49.8982 14.676 49.919 14.676 49.919 14.6378 49.8982 14.6378",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE12.zip
BENE14.zip,"49.8626 14.6452 49.8626 14.6834 49.8834 14.6834 49.8834 14.6452 49.8626 14.6452",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE14.zip
BENE16.zip,"49.8269 14.6526 49.8269 14.6908 49.8477 14.6908 49.8477 14.6526 49.8269 14.6526",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE16.zip
BENE17.zip,"49.8091 14.6564 49.8091 14.6945 49.8299 14.6945 49.8299 14.6564 49.8091 14.6564",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE17.zip
BENE19.zip,"49.7734 14.6638 49.7734 14.7019 49.7943 14.7019 49.7943 14.6638 49.7734 14.6638",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE19.zip
BENE21.zip,"49.913 14.5996 49.913 14.6378 49.9338 14.6378 49.9338 14.5996 49.913 14.5996",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE21.zip
BENE22.zip,"49.8952 14.6033 49.8952 14.6415 49.916 14.6415 49.916 14.6033 49.8952 14.6033",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE22.zip
BENE24.zip,"49.8596 14.6108 49.8596 14.6489 49.8804 14.6489 49.8804 14.6108 49.8596 14.6108",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE24.zip
BENE26.zip,"49.8239 14.6182 49.8239 14.6564 49.8447 14.6564 49.8447 14.6182 49.8239 14.6182",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE26.zip
BENE28.zip,"49.7883 14.6256 49.7883 14.6638 49.8091 14.6638 49.8091 14.6256 49.7883 14.6256",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE28.zip
AS91.zip,"50.2204 12.1595 50.2204 12.1987 50.2419 12.1987 50.2419 12.1595 50.2204 12.1595",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS91.zip
AS92.zip,"50.2027 12.1642 50.2027 12.2034 50.2241 12.2034 50.2241 12.1642 50.2027 12.1642",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS92.zip
AS94.zip,"50.1672 12.1735 50.1672 12.2127 50.1887 12.2127 50.1887 12.1735 50.1672 12.1735",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS94.zip
AS96.zip,"50.1317 12.1828 50.1317 12.2219 50.1532 12.2219 50.1532 12.1828 50.1317 12.1828",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS96.zip
AS98.zip,"50.0963 12.1921 50.0963 12.2312 50.1177 12.2312 50.1177 12.1921 50.0963 12.1921",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS98.zip
AS99.zip,"50.0785 12.1967 50.0785 12.2358 50.1 12.2358 50.1 12.1967 50.0785 12.1967",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS99.zip
BENE01.zip,"49.919 14.6686 49.919 14.7068 49.9398 14.7068 49.9398 14.6686 49.919 14.6686",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE01.zip
BENE03.zip,"49.8834 14.676 49.8834 14.7142 49.9042 14.7142 49.9042 14.676 49.8834 14.676",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE03.zip
BENE04.zip,"49.8655 14.6797 49.8655 14.7179 49.8864 14.7179 49.8864 14.6797 49.8655 14.6797",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE04.zip
BENE55.zip,"49.8327 14.5111 49.8327 14.5493 49.8535 14.5493 49.8535 14.5111 49.8327 14.5111",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE55.zip
BENE57.zip,"49.797 14.5186 49.797 14.5568 49.8179 14.5568 49.8179 14.5186 49.797 14.5186",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE57.zip
BENE58.zip,"49.7792 14.5224 49.7792 14.5605 49.8001 14.5605 49.8001 14.5224 49.7792 14.5224",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE58.zip
BENE59.zip,"49.7614 14.5261 49.7614 14.5643 49.7822 14.5643 49.7822 14.5261 49.7614 14.5261",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE59.zip
BENE29.zip,"49.7704 14.6293 49.7704 14.6675 49.7913 14.6675 49.7913 14.6293 49.7704 14.6293",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE29.zip
AS01.zip,"50.2536 12.4708 50.2536 12.5099 50.275 12.5099 50.275 12.4708 50.2536 12.4708",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS01.zip
AS03.zip,"50.2181 12.4799 50.2181 12.519 50.2395 12.519 50.2395 12.4799 50.2181 12.4799",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS03.zip
AS04.zip,"50.2004 12.4844 50.2004 12.5235 50.2218 12.5235 50.2218 12.4844 50.2004 12.4844",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS04.zip
AS05.zip,"50.1826 12.4889 50.1826 12.528 50.204 12.528 50.204 12.4889 50.1826 12.4889",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS05.zip
AS06.zip,"50.1649 12.4935 50.1649 12.5325 50.1863 12.5325 50.1863 12.4935 50.1649 12.4935",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS06.zip
AS07.zip,"50.1471 12.498 50.1471 12.5371 50.1685 12.5371 50.1685 12.498 50.1471 12.498",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS07.zip
AS09.zip,"50.1116 12.5071 50.1116 12.5461 50.133 12.5461 50.133 12.5071 50.1116 12.5071",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS09.zip
AS10.zip,"50.2677 12.4316 50.2677 12.4708 50.2891 12.4708 50.2891 12.4316 50.2677 12.4316",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS10.zip
AS12.zip,"50.2322 12.4407 50.2322 12.4799 50.2536 12.4799 50.2536 12.4407 50.2322 12.4407",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS12.zip
AS14.zip,"50.1967 12.4498 50.1967 12.4889 50.2181 12.4889 50.2181 12.4498 50.1967 12.4498",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS14.zip
AS15.zip,"50.179 12.4544 50.179 12.4935 50.2004 12.4935 50.2004 12.4544 50.179 12.4544",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS15.zip
AS17.zip,"50.1435 12.4635 50.1435 12.5025 50.1649 12.5025 50.1649 12.4635 50.1435 12.4635",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS17.zip
AS19.zip,"50.108 12.4726 50.108 12.5116 50.1294 12.5116 50.1294 12.4726 50.108 12.4726",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS19.zip
AS20.zip,"50.264 12.397 50.264 12.4362 50.2854 12.4362 50.2854 12.397 50.264 12.397",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS20.zip
AS22.zip,"50.2286 12.4061 50.2286 12.4453 50.25 12.4453 50.25 12.4061 50.2286 12.4061",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS22.zip
AS24.zip,"50.1931 12.4153 50.1931 12.4544 50.2145 12.4544 50.2145 12.4153 50.1931 12.4153",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS24.zip
AS79.zip,"50.086 12.2657 50.086 12.3047 50.1074 12.3047 50.1074 12.2657 50.086 12.2657",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS79.zip
AS80.zip,"50.2419 12.1894 50.2419 12.2287 50.2633 12.2287 50.2633 12.1894 50.2419 12.1894",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS80.zip
AS82.zip,"50.2064 12.1987 50.2064 12.2379 50.2278 12.2379 50.2278 12.1987 50.2064 12.1987",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS82.zip
AS83.zip,"50.1887 12.2034 50.1887 12.2426 50.2101 12.2426 50.2101 12.2034 50.1887 12.2034",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS83.zip
AS84.zip,"50.1709 12.208 50.1709 12.2472 50.1924 12.2472 50.1924 12.208 50.1709 12.208",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS84.zip
AS85.zip,"50.1532 12.2127 50.1532 12.2518 50.1746 12.2518 50.1746 12.2127 50.1532 12.2127",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS85.zip
AS86.zip,"50.1355 12.2173 50.1355 12.2564 50.1569 12.2564 50.1569 12.2173 50.1355 12.2173",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS86.zip
AS87.zip,"50.1177 12.2219 50.1177 12.261 50.1392 12.261 50.1392 12.2219 50.1177 12.2219",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS87.zip
AS89.zip,"50.0823 12.2312 50.0823 12.2703 50.1037 12.2703 50.1037 12.2312 50.0823 12.2312",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS89.zip
AS63.zip,"50.1961 12.2725 50.1961 12.3116 50.2175 12.3116 50.2175 12.2725 50.1961 12.2725",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS63.zip
AS65.zip,"50.1606 12.2817 50.1606 12.3208 50.182 12.3208 50.182 12.2817 50.1606 12.2817",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS65.zip
AS67.zip,"50.1251 12.2909 50.1251 12.33 50.1466 12.33 50.1466 12.2909 50.1251 12.2909",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS67.zip
AS68.zip,"50.1074 12.2955 50.1074 12.3346 50.1288 12.3346 50.1288 12.2955 50.1074 12.2955",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS68.zip
AS70.zip,"50.2456 12.224 50.2456 12.2632 50.267 12.2632 50.267 12.224 50.2456 12.224",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS70.zip
AS72.zip,"50.2101 12.2333 50.2101 12.2725 50.2316 12.2725 50.2316 12.2333 50.2101 12.2333",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS72.zip
AS73.zip,"50.1924 12.2379 50.1924 12.2771 50.2138 12.2771 50.2138 12.2379 50.1924 12.2379",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS73.zip
AS75.zip,"50.1569 12.2472 50.1569 12.2863 50.1783 12.2863 50.1783 12.2472 50.1569 12.2472",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS75.zip
AS77.zip,"50.1214 12.2564 50.1214 12.2955 50.1429 12.2955 50.1429 12.2564 50.1214 12.2564",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS77.zip
AS78.zip,"50.1037 12.261 50.1037 12.3001 50.1251 12.3001 50.1251 12.261 50.1037 12.261",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS78.zip
BENE06.zip,"49.8299 14.6871 49.8299 14.7252 49.8507 14.7252 49.8507 14.6871 49.8299 14.6871",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE06.zip
BENE07.zip,"49.8121 14.6908 49.8121 14.7289 49.8329 14.7289 49.8329 14.6908 49.8121 14.6908",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE07.zip
BENE08.zip,"49.7943 14.6945 49.7943 14.7326 49.8151 14.7326 49.8151 14.6945 49.7943 14.6945",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/BENE08.zip
AS28.zip,"50.1221 12.4335 50.1221 12.4726 50.1435 12.4726 50.1435 12.4335 50.1221 12.4335",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS28.zip
AS29.zip,"50.1044 12.4381 50.1044 12.4771 50.1258 12.4771 50.1258 12.4381 50.1044 12.4381",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS29.zip
AS30.zip,"50.2604 12.3624 50.2604 12.4016 50.2818 12.4016 50.2818 12.3624 50.2604 12.3624",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS30.zip
AS32.zip,"50.2249 12.3716 50.2249 12.4107 50.2463 12.4107 50.2463 12.3716 50.2249 12.3716",https://openzu.cuzk.gov.cz/opendata/DMPOK-LAZ/epsg-5514/AS32.zip
